	X:TIME(s)	Y:Acc1_Relative-RevJoint1(rad/s^2)	Y:Acc1_Relative-RevJoint2(rad/s^2)	Y:Acc1_Relative-RevJoint3(rad/s^2)	Y:Acc1_Relative-RevJoint4(rad/s^2)	Y:Acc1_Relative-RevJoint5(rad/s^2)	Y:Driving_Torque-RevJoint6(N*m)
  1.3550000e-001  3.4600943e+001 -2.1266511e+001 -2.4191706e+002  2.6230340e+002 -3.7036973e+001  3.2540691e-003
  1.3710000e-001  3.1111039e+001 -7.6507542e+000 -2.5655557e+002  2.6285911e+002 -3.2214311e+001  3.4744425e-003
  1.3870000e-001  2.7551820e+001  5.9911733e+000 -2.7042815e+002  2.6207521e+002 -2.6682030e+001  3.7123383e-003
  1.4030000e-001  2.3953292e+001  1.9584798e+001 -2.8344856e+002  2.5987699e+002 -2.0404401e+001  3.9682120e-003
  1.4190000e-001  2.0345848e+001  3.3050508e+001 -2.9552664e+002  2.5619136e+002 -1.3347077e+001  4.2423335e-003
  1.4350000e-001  1.6760216e+001  4.6303096e+001 -3.0656814e+002  2.5094822e+002 -5.4783452e+000  4.5347445e-003
  1.4520000e-001  1.3009062e+001  6.0048497e+001 -3.1705422e+002  2.4359795e+002  3.8020098e+000  4.8652070e-003
  1.4680000e-001  9.5665345e+000  7.2567389e+001 -3.2564457e+002  2.3494417e+002  1.3424876e+001  5.1942556e-003
  1.4840000e-001  6.2412221e+000  8.4576141e+001 -3.3288922e+002  2.2455769e+002  2.3923252e+001  5.5398441e-003
  1.5000000e-001  3.0642832e+000  9.5967126e+001 -3.3868425e+002  2.1240240e+002  3.5301101e+001  5.9006574e-003
  1.5160000e-001  6.6561187e-002  1.0662896e+002 -3.4292713e+002  1.9845694e+002  4.7550922e+001  6.2749708e-003
  1.5320000e-001 -2.7216887e+000  1.1644797e+002 -3.4551890e+002  1.8271720e+002  6.0652085e+001  6.6606422e-003
  1.5480000e-001 -5.2711334e+000  1.2531005e+002 -3.4636663e+002  1.6519849e+002  7.4569465e+001  7.0551217e-003
  1.5650000e-001 -7.6869514e+000  1.3355193e+002 -3.4526215e+002  1.4467665e+002  9.0194160e+001  7.4806238e-003
  1.5810000e-001 -9.6573657e+000  1.4009040e+002 -3.4225852e+002  1.2362819e+002  1.0561745e+002  7.8836436e-003
  1.5970000e-001 -1.1309315e+001  1.4534434e+002 -3.3728964e+002  1.0098182e+002  1.2165196e+002  8.2855147e-003
  1.6130000e-001 -1.2621804e+001  1.4922300e+002 -3.3031180e+002  7.6841031e+001  1.3819943e+002  8.6825023e-003
  1.6290000e-001 -1.3577213e+001  1.5164819e+002 -3.2129838e+002  5.1329348e+001  1.5514791e+002  9.0707759e-003
  1.6450000e-001 -1.4161840e+001  1.5255689e+002 -3.1024108e+002  2.4588083e+001  1.7237359e+002  9.4465050e-003
  1.6610000e-001 -1.4366411e+001  1.5190363e+002 -2.9715073e+002 -3.2264859e+000  1.8974308e+002  9.8059535e-003
  1.6770000e-001 -1.4186538e+001  1.4966240e+002 -2.8205765e+002 -3.1946323e+001  2.0711589e+002  1.0145569e-002
  1.6940000e-001 -1.3575266e+001  1.4553607e+002 -2.6388301e+002 -6.3255651e+001  2.2541600e+002  1.0481000e-002
  1.7100000e-001 -1.2611455e+001  1.4002910e+002 -2.4483856e+002 -9.3279986e+001  2.4233615e+002  1.0769668e-002
  1.7260000e-001 -1.1283553e+001  1.3299008e+002 -2.2400496e+002 -1.2365721e+002  2.5881339e+002  1.1029476e-002
  1.7420000e-001 -9.6097045e+000  1.2448359e+002 -2.0149005e+002 -1.5420549e+002  2.7470576e+002  1.1258222e-002
  1.7580000e-001 -7.6135451e+000  1.1459662e+002 -1.7741937e+002 -1.8474691e+002  2.8987712e+002  1.1454089e-002
